activities,activity_type,,,,
testing excel,Learning,,,,
Review what I've done and decide what to do this week,Reviewing,,,,
Revised resume based on career coach Claude feedback,Application,,,,
Applied to 3 companies,Application,,,,
"Messaged Stephanie, posted on ProductBC about Eric, Worked on my story to tell for interview and social settings",Networking,,,,
Review today's activity,Review,,,,
Plan for today,Review,,,,
Set up career-ops for job application,Research,,,,
Reviewing my LinkedIn profile,Application,,,,
"Research jobs, watching Jobber videos",Research,,,,
Sent job applications to pointclickcare and fluxon,Application,,,,
Review of today,Review,,,,
Meeting prep,Review,,,,
Recruiter call with Leo,Networking,,,,
Adjusted my Linkedin profile,Application,,,,
Applied for Clario role,Application,,,,
Joined JSC product manager chat,Networking,,,,
"Reviewed call with Doreen, sent follow-up message",Interview,,,,
Revising LinkedIn profile,Application,,,,
Reaching out to pointclickcare ppl on linkedin,Networking,,,,
Review of today,Review,,,,
Plannning for today,Review,,,,
"Sent message to Arush, PCC, and read about PCC customers",Networking,,,,
Practice my stories,Interview,,,,
Mentorship call,Networking,,,,
Looking for people to reach out to,Networking,,,,
Looking for jobs to apply for,Research,,,,
Reading about company A and their customers and business outlook,Research,,,,
Interview call,Interview,,,,